,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
138,2,5,10,2,0,0,1,1,1,2,2,1,2,0,2,1,0,0,1,0,2,1,2,2,1,1,2,1,1,2
139,6,14,7,0,1,2,2,1,1,0,0,1,2,0,2,0,0,2,0,2,2,2,1,0,1,1,0,2,1,1
140,22,24,7,1,2,2,0,1,0,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,2,0,2,1,2
141,6,14,3,0,1,2,2,1,2,1,0,1,2,0,2,2,0,1,0,0,0,1,2,2,0,1,0,2,1,0
142,10,8,14,2,2,1,2,2,1,2,2,0,1,0,0,2,1,2,0,2,2,1,2,1,1,1,1,0,2,0
143,4,3,19,2,0,1,1,0,2,1,1,2,2,1,2,1,0,2,1,0,0,1,0,1,2,1,2,1,0,2
144,22,24,0,1,1,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,2,1,2
145,0,20,24,0,0,0,0,2,1,0,0,0,1,0,1,1,2,1,1,2,0,1,0,1,2,1,2,1,1,0
146,6,20,26,2,0,0,0,1,0,0,0,1,2,0,0,0,2,1,2,0,0,1,0,1,1,1,0,0,0,0
147,6,20,7,0,2,2,0,0,2,0,0,1,2,0,1,2,0,0,2,0,0,1,0,0,1,0,0,2,0,2
148,21,0,5,2,2,1,0,0,2,2,2,0,2,2,2,2,1,2,0,1,0,1,1,0,2,1,2,0,2,2
149,10,8,18,1,0,1,0,1,1,2,2,2,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,0,2,0
150,10,8,14,1,2,1,2,2,1,2,2,0,1,0,0,2,1,2,0,2,2,1,2,0,1,1,1,0,1,0
151,12,20,7,0,1,1,2,0,0,1,0,0,1,0,1,2,0,1,1,2,2,1,1,0,1,2,1,0,1,1
152,4,3,19,2,2,1,1,0,2,1,1,2,2,1,2,1,0,2,0,0,0,1,0,0,2,1,2,1,2,2
153,6,5,20,2,0,0,2,2,0,1,1,2,1,1,0,0,0,1,2,2,0,1,0,1,2,1,1,2,2,0
154,10,22,0,0,2,0,0,2,2,0,2,0,1,0,2,1,1,0,1,1,1,2,1,1,1,2,1,0,0,0
155,6,12,20,0,1,2,2,1,1,0,0,1,0,0,2,0,0,1,0,2,2,2,1,0,0,1,0,2,1,0
156,1,9,20,0,2,2,2,0,1,2,2,0,2,0,1,2,2,0,1,0,2,2,1,2,2,2,0,0,0,0
157,23,21,8,1,0,2,2,2,1,1,0,2,2,1,2,0,1,0,2,0,2,1,0,0,0,1,0,1,1,2
158,26,20,10,1,2,0,1,0,0,2,0,2,2,0,1,1,2,0,2,2,1,1,1,2,0,1,1,1,2,2
159,10,8,14,2,2,1,2,2,1,2,2,0,1,0,0,2,1,2,0,2,2,1,2,1,2,1,1,0,1,0
160,10,20,7,0,1,1,2,0,1,2,0,1,1,2,0,0,1,2,2,0,1,1,1,0,1,0,0,0,1,1
161,8,3,19,0,0,1,0,2,2,0,2,0,2,1,0,2,1,1,1,0,1,1,0,1,2,1,2,2,2,2
162,4,3,19,2,0,1,1,0,2,1,1,2,2,1,2,1,1,2,1,0,1,1,0,1,0,1,2,1,0,1
163,9,1,14,1,1,2,0,1,0,0,0,0,2,2,0,2,1,2,1,2,0,1,1,0,0,1,1,2,0,1
164,22,7,17,1,1,1,2,2,2,1,1,1,1,0,2,2,2,0,2,0,0,1,2,2,2,2,0,2,1,2
165,11,8,10,0,0,1,2,1,2,0,2,2,1,1,0,0,1,1,0,1,1,2,2,2,2,2,0,2,0,2
166,24,9,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,2,1,1,1,0,1,1,1,1,1,0,0
167,14,1,6,0,0,1,2,1,1,2,0,2,0,1,1,0,0,1,0,0,1,2,2,1,0,2,0,2,2,2
168,8,0,10,2,2,1,0,0,2,1,0,0,2,0,0,0,2,2,1,2,1,1,0,2,0,1,2,0,2,1
169,10,20,7,0,1,1,2,0,2,2,0,1,1,2,0,2,1,2,0,0,2,1,1,0,1,0,0,0,1,1
170,6,14,19,2,0,0,1,2,0,0,1,2,1,1,0,0,2,1,2,2,0,1,2,1,2,1,1,0,1,0
171,5,14,0,1,0,2,1,0,0,1,2,2,1,2,0,1,2,0,1,0,2,0,1,0,2,0,1,2,1,2
172,15,22,10,0,1,0,1,2,2,0,2,2,2,0,1,2,2,1,1,0,0,2,0,1,1,1,0,2,1,1
173,2,24,1,2,2,2,0,0,1,2,1,1,1,0,2,1,1,2,1,1,1,0,1,2,1,2,1,2,2,0
